Time [s],CLK,A13,A14,A15,MODE0,MODE1,IOM,POWER,STATE0,STATE1,ROM0_CS,RAM0_CS,RAM1_CS,BSRE,ROM1_CS,RDY
-3.598560600,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
-0.011501200,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
-0.011494000,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
-0.011486800,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
-0.011479600,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
-0.011472600,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
-0.001618200,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
-0.000000000,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
0.000000600,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1
0.000004400,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1
0.000007000,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1
0.000009600,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0
0.000009800,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0
0.000010000,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
0.000010600,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1
0.000011200,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1
0.000015800,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1
0.000018000,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0
0.000018200,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0
0.000018400,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
0.000018600,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
0.000025200,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1
0.000025800,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1
0.000028200,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1
0.000030600,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0
0.000030800,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0
0.000031000,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
0.000057800,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1
0.000058400,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1
0.000060400,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1
0.000060600,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1
0.000063000,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0
0.000063200,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0
0.000063400,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
0.000080000,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1
0.000080600,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1
0.000082000,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1
0.000084600,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0
0.000084800,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0
0.000085000,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
0.000085200,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
0.000086800,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1
0.000087200,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1
0.000090000,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1
0.000092400,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0
0.000092600,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0
0.000092800,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
0.000095800,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1
0.000096200,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1
0.000098200,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1
0.000100400,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1
0.000100600,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0
0.000100800,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0
0.000101000,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
0.000107200,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1
0.000107800,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1
0.000110000,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1
0.000112400,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1
0.000112800,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1
0.000117600,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1
0.000120000,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1
0.000120400,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1
0.000138000,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1
0.000140800,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1
0.000141200,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1
0.003441000,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1
0.008483200,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1
0.012672400,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1
0.017734600,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1
0.017740600,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1
0.022788200,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1
0.027864200,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1
0.032885800,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1
0.037970400,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1
0.042103200,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1
0.047143000,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1
0.052183400,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1
0.057256600,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1
0.059330800,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1
0.061381000,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1
0.066422600,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1
0.071464400,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1
0.076532400,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1
0.078600600,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1
0.078608600,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1
0.080658600,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1
0.085698200,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1
0.090736800,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1
0.095805000,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1
0.097846600,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1
0.099897600,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1
0.104942400,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1
0.109982600,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1
0.115051000,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1
0.117108400,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1
0.117116000,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1
0.117124000,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1
0.119173200,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1
0.124212400,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1
0.129252000,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1
0.134319800,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1
0.136392200,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1
0.138443600,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1
0.143485400,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1
0.148526000,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1
0.153593800,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1
0.155657800,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1
0.155665800,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1
0.157715400,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1
0.162743000,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1
0.167783600,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1
0.172848400,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1
0.174922600,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1
0.176971200,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1
